"subjects"	"S"	"prime"	"R"	"rt"
"361"	"1"	"cat"	"WOOF"	"dog"	0.369526212923246
"2617"	"1"	"cat"	"WOOF"	"dog"	0.695785427875616
"3013"	"1"	"dog"	"WOOF"	"dog"	0.749987704850655
"1117"	"1"	"dog"	"MEOW"	"cat"	0.372378746301052
"2257"	"1"	"cat"	"MEOW"	"cat"	0.35147782680196
"3445"	"1"	"dog"	"WOOF"	"dog"	0.381711894553088
"205"	"1"	"dog"	"MEOW"	"dog"	1.77720382950967
"1873"	"1"	"cat"	"MEOW"	"cat"	0.375644753003558
"2125"	"1"	"dog"	"MEOW"	"dog"	0.275380500254279
"2941"	"1"	"dog"	"MEOW"	"cat"	0.410662925938613
"4669"	"1"	"dog"	"MEOW"	"cat"	0.262890547488119
"5113"	"1"	"cat"	"WOOF"	"cat"	0.244945544178742
"1597"	"1"	"dog"	"MEOW"	"dog"	0.247995589804353
"5497"	"1"	"cat"	"WOOF"	"cat"	0.416198637566536
"3301"	"1"	"dog"	"WOOF"	"cat"	0.250292979369639
"3985"	"1"	"cat"	"MEOW"	"cat"	0.325068988671784
"1405"	"1"	"dog"	"MEOW"	"dog"	0.536474920325189
"373"	"1"	"dog"	"WOOF"	"cat"	0.770351310817905
"1513"	"1"	"cat"	"WOOF"	"cat"	0.30589540036381
"4741"	"1"	"dog"	"WOOF"	"dog"	0.639094139032607
"3601"	"1"	"cat"	"MEOW"	"cat"	0.440032936794082
"2809"	"1"	"cat"	"WOOF"	"cat"	0.33743234294368
"4933"	"1"	"dog"	"WOOF"	"cat"	0.235002650542558
"5065"	"1"	"cat"	"WOOF"	"cat"	0.271076873211962
"5473"	"1"	"cat"	"MEOW"	"cat"	0.581989563691764
"4849"	"1"	"cat"	"MEOW"	"dog"	0.307529917447136
"3097"	"1"	"cat"	"WOOF"	"cat"	0.212296972856454
"4045"	"1"	"dog"	"MEOW"	"dog"	0.261921142607145
"4021"	"1"	"dog"	"WOOF"	"cat"	0.219214758511393
"2497"	"1"	"cat"	"MEOW"	"dog"	0.548506588199464
